strain,id,race,flavors,effects,0
Alien Apparition,17,hybrid,"['Berry', 'Blueberry', 'Citrus']","{'positive': ['Hungry', 'Euphoric', 'Creative', 'Aroused'], 'negative': ['Dry Mouth'], 'medical': ['Depression', 'Cramps', 'Fatigue', 'Headaches', 'Eye Pressure']}","Alien Abduction is an OG Kush hybrid bred by So-Cal medical collective Ocean Grown Genetics, who crossed an Alien OG male with the Ether cut of Alien Dawg. These seeds have been highly sought after by growers, as they are known to have great germination rates and multiple excellent phenotypes, all of which are robust and vigorous plants. Most phenotypes exhibit typical OG Kush smells and flavors, and pack a high-THC punch that combines a potent head buzz with a strongly sedating body high. For many patients, Alien Abduction is a great appetite stimulant and sleep aid."
Alien Asshat,18,hybrid,"['Citrus', 'Pungent', 'Lemon']","{'positive': ['Euphoric', 'Happy', 'Creative', 'Energetic', 'Giggly'], 'negative': ['Dizzy', 'Dry Mouth'], 'medical': ['Depression', 'Pain', 'Stress', 'Nausea', 'Fatigue']}","Alien Apparition is a cleverly named cross from Franchise Genetics. This spectral anomaly is brought to the material sphere with the help of a Ghost/Natural Born Killer hybrid and Alien Technology. Known for its happy, relaxing qualities, Alien Apparition combines the OG Kush-like elements of Ghost OG and Alien Technology’s euphoric sedation to create a potent hybrid best suited to afternoon consumption. Enjoy this strain to enhance mood and subdue general aches and pains.   "
Alien Bubba,19,indica,"['Earthy', 'Ammonia', 'Diesel']","{'positive': ['Relaxed', 'Euphoric', 'Sleepy', 'Focused', 'Giggly'], 'negative': ['Dizzy', 'Dry Mouth'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']}","Alien Asshat is a hybrid cannabis strain grown by Sky High Gardens in Washington. With a staggeringly high THC content, Alien Asshat launches you into the cosmos with a powerful euphoric blast. Its buds are a tangle of green calyxes and leaves wrapped in a constellation of shining crystal resin. If you’re new to cannabis, be sure to start small with this heavy-hitter."
Alien Dawg,20,indica,"['Earthy', 'Pungent', 'Spicy/Herbal']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious'], 'medical': ['Insomnia', 'Pain', 'Stress', 'Nausea', 'Fatigue']}","Alien Bubba is the intergalactic cross of the renowned Bubba Kush and the heady space invader, Alien Kush. This two-fold Kush blend offers mellow sedation with a mental aura most would describe as introspective or meditative. Its bouquet is earthy and floral, and when combusted, Alien Bubba shows off a pungent tea and herbaceous grassiness that is smooth on the exhale. Enjoy this heady heavy-hitter close to the end of the day to maximize its sedative effects.   "
Alien Dutchess,21,sativa,"['Berry', 'Lemon', 'Sweet']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Focused'], 'negative': [], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']}","Descending from Northern California and Afghanistan genetics, Alien Dawg is a cross between Chemdawg and Alien Technology with a THC content of up to 20%. With a sour and pungent odor, Alien Dawg has a light, bitter taste and presents brilliant mind and body effects."
Alien Hallucination,22,hybrid,"['Chemical', 'Diesel', 'Earthy']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted'], 'negative': [], 'medical': ['Depression', 'Pain', 'Stress', 'Headache', 'Fatigue', 'Muscle Spasms']}","Alien Dutchess by Cresco Labs brings together strong euphoria and deep relaxation to create a strain that is as potent as it is refined. Created by crossing Dutch Treat Haze and Alien OG, this strain exhibits a spicy, herbaceous aroma with hints of pine and lemon. The earthy and citrus notes shine through upon consumption. Alien Dutchess has been known to stimulate appetite and help abate nausea, headaches, and stress."
Alien Inferno,23,hybrid,"['Pine', 'Diesel', 'Earthy']","{'positive': ['Euphoric', 'Happy', 'Creative', 'Energetic', 'Talkative'], 'negative': [], 'medical': ['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Fatigue']}","Alien Hallucination is a hybrid cannabis strain that is believed to be a cross between the sedating Tahoe Alien and LSD, a classic Amsterdam hybrid known for its trippy head buzz. Bred by Alien Genetics, this strain will abduct the mind while your body remains anchored in deep physical relaxation."
Alien Kush,24,indica,"['Woody', 'Flowery', 'Earthy']","{'positive': ['Relaxed', 'Euphoric', 'Uplifted', 'Sleepy', 'Giggly'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Headaches']}","Using a White Fire #6 and Alien OG hybrid and crossing it again with Diablo, LivWell created Alien Inferno. Rock solid buds slathered in trichomes and red pistils, Alien Inferno is a heavy-handed OG hybrid that can help relieve pain, boost creativity, and help you unwind. With the taste of earth, pine, and lemon, this potent indica-dominant hybrid will take care of even the most experienced connoisseur."
Alien OG,25,hybrid,"['Lemon', 'Flowery', 'Earthy']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Focused'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Muscle Spasms']}","Alien Kush is a potent cross of LVPK and Alien Dawg that originally hails from California, not deep space. It may have you feeling a little spacey, though, as this mostly indica hybrid touches down in the brain first, giving active, sometimes-psychedelic effects that are more traditionally sativa. The active buzz settles over time into a relaxing body buzz that will dissolve both stress and pain. Alien Kush plants have average yields, but they are hardy, easy-to-grow plants, indoors or out. The light green buds have a covering of red or orange hairs and should be airy. This strain has a piney smell, but the taste is a subtle spiciness that is reminiscent of tea."
Alien Reunion,26,hybrid,"['Skunk', 'Diesel', 'Pungent']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted'], 'negative': [], 'medical': ['Pain', 'Lack of Appetite', 'Headaches', 'Inflammation', 'Muscle Spasms']}","First available as a clone in California’s Bay Area and now in seed form from Cali Connection, Alien OG is a cross of Tahoe OG and Alien Kush. One of the most potent strains available today, this indica-dominant hybrid has tested as high as 28% THC. Alien OG has the typical lemon-pine “OG” smell and flavor, and an intense high that combines heavy indica body effects and a psychedelic cerebral buzz. Beginners and novices, be sure to take it slow with this heavy-hitter."
Alien Rift,27,indica,"['Earthy', 'Chemical', 'Citrus']","{'positive': ['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Creative'], 'negative': ['Dry Mouth'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Headaches']}","Alien Reunion is an indica-dominant cross of Alien OG and Alien Dawg bred by Cannobi Genetics. Its dense colas emit a pungent mix of flavors that include sweet fruity tones of cherry and lemon combined with a skunky, diesel note. The relaxing effects of Alien Reunion calm the body while stimulating the mind with an energetic and creative rush that helps you stay productive without feeling sluggish."
Alien Rock Candy,28,hybrid,"['Sweet', 'Earthy', 'Citrus']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']}","Alien Rift by Ocean Grown Seeds is the thoroughly enhanced phenotype of Alien Abduction specifically backcrossed for better hash production. With a tart scent of lemon and spice and buds dense with trichomes, Alien Rift is certain to please the senses. This strain is the product of crossing Alien Abduction, Alien Dawg (""Ether"" cut), and Alien OG. With that much extraterrestrial activity, you know this indica is out of this world! Use Alien Rift’s laidback effects to curb stress and moderate physical pain. "
Alien Sour Apple,29,hybrid,"['Apple', 'Orange', 'Ammonia']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted'], 'negative': [], 'medical': ['Depression', 'Stress', 'Lack of Appetite', 'Muscle Spasms']}","Alien Rock Candy by Alien Genetics is an indica-dominant hybrid with an aroma as sweet as the name suggests. This Sour Dubble and Tahoe Alien cross captures a fruity, citrus aroma that carries through until the exhale. Full relaxation of the mind and body make this strain ideal for the end of an active or stressful day, with a heaviness that segueways nicely into sleep. The effects may take a few minutes to peak, but Alien Rock Candy packs a powerful euphoric punch once it sets in. A good choice for both novice and expert growers alike, Alien Rock Candy finishes around 8 weeks into its flowering cycle. "
Alien Stardawg,30,sativa,"['Earthy', 'Pungent', 'Rose']","{'positive': ['Euphoric', 'Happy', 'Creative', 'Uplifted'], 'negative': ['Dry Mouth'], 'medical': ['Depression', 'Stress', 'Lack of Appetite']}","Alien Sour Apple is a sativa-dominant hybrid that mixes the genetics of Alien Dawg with Sour Apple. Bred by Franchise Genetics, Alien Sour Apple tastes sweet and sour, like a Granny Smith apple. Its heady sativa effects provide a lift of energy and incite an optimistic sense of euphoria."
Alien Technology,31,indica,"['Spicy/Herbal', 'Chemical', 'Woody']","{'positive': ['Relaxed', 'Happy', 'Uplifted', 'Giggly'], 'negative': ['Dry Mouth'], 'medical': ['Depression', 'Pain', 'Stress', 'Headaches']}","Alien Stardawg is a sativa-dominant hybrid cross of Alien Kush and Stardawg bred by Green Beanz Seeds. Stretchy plants produce large yields of frosty green, red, blue, and purple colored buds with pleasing cherry hash and chem-fuel flavors and a potent well-rounded high.  "
Aliens On Moonshine,32,indica,"['Berry', 'Butter', 'Citrus']","{'positive': ['Relaxed', 'Happy', 'Tingly', 'Focused'], 'negative': [], 'medical': ['Depression', 'Stress', 'Headaches', 'Inflammation']}","Very little is known about Alien Technology other than it is a landrace strain selected from a handful of seeds acquired by breeder OBSoul33t from a US soldier returning from Afghanistan. It is a pure indica that features light green buds, incredible trichome production, and a spicy, hashy flavor/aroma with fuel undertones. Reports indicate that the high is more stimulating than your typical indica, while lasting as long as 6 hours. Alien Technology has been used in breeding some of today’s most potent hybrids such as Alien Dawg and Alien Kush."
Allen Wrench,33,sativa,"['Berry', 'Tropical', 'Mango']","{'positive': ['Euphoric', 'Happy', 'Creative', 'Energetic', 'Uplifted'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Nausea']}","Aliens On Moonshine by Sin City Seeds is a potent CBD-rich phenotype of The Cali Connection’s Sour Alien crossed with White Moonshine. This indica-dominant strain emits a funky aroma that is a clashing of sour, sweet, and chemicals. The 5:1 CBD/THC ratio gives Aliens On Moonshine potent medicinal properties while remaining mostly functional. Its effects land firmly in the body and can assist with inflammation, irritability, and minor physical discomfort. The uplifting, clearheaded buzz and soothing physical effects make Aliens On Moonshine an excellent add-in or standalone strain for CBD lovers everywhere.    "
Allkush,34,indica,"['Honey', 'Spicy/Herbal', 'Earthy']","{'positive': ['Relaxed', 'Happy', 'Sleepy'], 'negative': ['Dry Eyes'], 'medical': ['Pain', 'Stress', 'Eye Pressure']}","A popular strain for sativa-lovers, Allen Wrench presents the best qualities of its parents, Trainwreck and NYC Diesel with crisp flavors of sour fruit. Its aroma has been characterized as sour and flowery, leaving a lingering scent of fruit. Allen Wrench is known to provide users with a long-lasting cerebral high and fill an entire room with its strong essence. The buds have a dark-green color and dark foliage with orange pistils growing out. Allen Wrench also has a 10-11 week flowering time and medium to medium-high THC content."
Aloha,35,sativa,"['Tropical', 'Sweet', 'Citrus']","{'positive': ['Relaxed', 'Happy', 'Creative', 'Energetic', 'Uplifted'], 'negative': ['Dizzy', 'Dry Mouth', 'Dry Eyes'], 'medical': ['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']}","Allkush, 2nd prize winner at the 2005 Highlife Cannabis Cup, is a hashy Kush blend bred by Paradise Seeds of Amsterdam. This resinous flower hails from the “Hippie Trail” that winds through Pakistan and Afghanistan, creating a 75/25 indica-dominant strain that soothes without binding the consumer to the couch. With traditional uplifting cerebral elements and a pleasant sedation on the body, Allkush shines on patients seeking relief from sleep disorders, anxiety, and depression. "
Aloha Limone,36,hybrid,"['Citrus', 'Earthy', 'Pungent']","{'positive': ['Relaxed', 'Happy', 'Creative', 'Energetic', 'Uplifted'], 'negative': ['Dry Mouth', 'Dry Eyes'], 'medical': ['Depression', 'Pain', 'Stress']}","Aloha is a sativa strain that leaves users with an upbeat, energetic buzz and may also be helpful in treating pain such as migraines. Aloha’s flowers will be large and fluffy, with plenty of room for white wispy hairs and sparkling crystals. The aroma of this strain is that of grass and citrus for a fresh experience that may have you thinking of your next island getaway. Its sativa effects can be a little much for some users, so those who are looking for less mental stimulation should be warned."
Alohaberry,37,hybrid,"['Berry', 'Sweet', 'Citrus']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Giggly'], 'negative': ['Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Pain', 'Stress', 'Nausea', 'Fatigue']}","The smell of Aloha Limone has been described as, “a fruit tree rotting in the Kona sun.” Citrus notes are native to this Hawaiian Sunrise and Nina Limone cross, but the plant also expresses latent floral and pungent elements from recessive Kush genetics. Plan on cheeky euphoria and a physical lightness that encourages outdoor activity. Aloha Limone is a proprietary genetic cross of Colorado Seed Inc.  "
Alpha Blue,38,sativa,"['Blueberry', 'Sweet', 'Berry']","{'positive': ['Relaxed', 'Happy', 'Energetic', 'Uplifted', 'Focused'], 'negative': ['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Insomnia', 'Stress', 'Lack of Appetite', 'Fatigue']}","Originating from the tropical islands of Hawaii, Alohaberry releases a pleasant aroma and taste of tropical berries. It is known for its unique sweet taste and because it is an equal hybrid, the effects are both mind and body. Flowering time for this plant is approximately 8-9 weeks."
Alpha Express,40,sativa,"['Spicy/Herbal', 'Nutty', 'Tea']","{'positive': ['Happy', 'Creative', 'Energetic', 'Uplifted', 'Focused'], 'negative': ['Dry Mouth'], 'medical': ['Depression', 'Cramps', 'Fatigue', 'Headaches', 'Inflammation']}","Alpha Blue, also known as Dream Diesel (or DD), is a high-flying sativa that combines Blue Dream and NYC Diesel. In 2011 this compelling blend claimed two 2nd place prizes for a sativa at the High Times’ Medical Cup in Denver and San Francisco. Its buds are glazed with sugary trichomes and take on hues of deep red and violet. The aroma is a combination of tart blueberry and sour candy that create a pungent mixture of earthy berry and Haze upon exhale. The sweet fragrance of Alpha Blue brings with it uplifting effects that produce a calming, relaxed mood without putting you to sleep. The cerebral and happy buzz is a great tool when coping with stress and anxiety."
Alpha OG,41,hybrid,"['Berry', 'Earthy', 'Tea']","{'positive': ['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Creative'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Fatigue']}","Alpha Cow is a sativa strain that brings together genetics from Alpha Blue and Purple Cow. Its aroma is a distinctive mix of overripe blueberries and sweet toffee, while the exhale accentuates its smooth berry flavors. Some sativas tend to bring on racing thoughts, but this strain provides a calming buzz with mellow cerebral sensations that keep you feeling uplifted and positive."
Alpine Blue,42,hybrid,"['Berry', 'Blueberry', 'Pine']","{'positive': ['Euphoric', 'Creative', 'Energetic', 'Uplifted', 'Aroused'], 'negative': [], 'medical': ['Depression', 'Pain', 'Stress', 'Inflammation', 'Muscle Spasms']}","Alpha Express is an introspective sativa strain that descends from Alpha Blue and Ghost Train Haze. With a complex flavor that spans sour juniper and musky cedar notes, Alpha Express delivers spacey cerebral effects perfect for meditative or creative activities. Its buds bloom with trichome-covered calyxes that carry a red tint as the flowers mature."
Alpine Star,43,indica,"['Pine', 'Earthy', 'Lemon']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted'], 'negative': ['Dry Mouth'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Fatigue']}","Alpha OG from Alpha Medic is an OG Kush phenotype that took 2nd place in the 2014 Los Angeles Cannabis Cup. Its thick layer of crystal trichomes helps to explain why this pungent, pine-scented strain consistently tests over 20% THC when grown optimally. Conditions best treated with high-THC strains like Alpha OG include sleep apnea, appetite and weight loss, nausea, and chronic pain. "
Ambrosia,44,hybrid,"['Earthy', 'Tropical', 'Butter']","{'positive': ['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Tingly'], 'negative': ['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Headache', 'Fatigue']}","Alpine Blue is a 60/40 sativa-dominant hybrid that combines Blue Mystic and Power Plant, who pass on uplifting euphoric effects alongside a complex aroma of blueberry and woody pine. While some phenotypes tend toward the indica side of the spectrum, even its common sativa expression induces calming full-body effects. Patients typically look to Alpine Blue for daytime relief of anxiety and mood disorders, gastrointestinal pain, and inflammation."
American Dream,45,hybrid,"['Earthy', 'Sweet', 'Pungent']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Focused'], 'negative': ['Dry Mouth', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Inflammation']}","Alpine Star, often labeled as Alpine OG, is an earthy, citrus mix of Tahoe OG and Sensi Star genetics. Zesty lemon flavors lead Alpine Star’s wave of relaxing indica effects. The pain relieving properties of Alpine Star radiate from the head and neck, calming anxieties and muscle tension as the effects descend to the lower extremities."
American Kush,46,indica,"['Sweet', 'Lemon', 'Lime']","{'positive': ['Relaxed', 'Happy', 'Tingly', 'Sleepy'], 'negative': ['Dry Mouth', 'Dry Eyes'], 'medical': ['Insomnia', 'Pain', 'Stress', 'Headaches', 'Muscle Spasms']}","Stemming from her parents, God Bud and Burmese, the Ambrosia strain is a high that will hit you almost instantaneously and will be felt throughout your body. Her mother, Burmese is a sativa from the Mighty Mite Seed Company and was voted #1 People's Choice at the Cannabis Culture Toker's Bowl in 2002. For dad, God Bud from Jordan of the Islands, is a mostly indica plant, popular for it's tropical sweet flavor. Ambrosia produces a large amount of dense and sticky buds with yellow leaves and orange hairs. "
Americano,47,indica,"['Earthy', 'Diesel', 'Spicy/Herbal']","{'positive': ['Relaxed', 'Euphoric', 'Creative', 'Focused', 'Aroused'], 'negative': [], 'medical': ['Pain', 'Nausea', 'Headaches']}","American Dream by Sensi Seeds is an indica-dominant strain that blends Afghan Skunk with Jamaican and Hawaiian genetics. Its name is charged with meaning, mainly in that this indica represents “honest toil, personal improvement, and enjoying the fruits of one’s labor,” as Sensi Seeds puts it. Earthy and skunky in flavor, American Dream helps you pursue happiness with balanced uplifting, social effects appropriate for day or evening use. "
